protein_id,gene,temporal_class,functional_category,PC1,PC2,PC3,PC4,PC5
YP_009137073.1,RL1,Late,Neurovirulence/Host Defense,-6.877009163103155,-0.5486925969213517,1.254664750055691,-0.5343961369551661,-1.9313592501648773
YP_009137074.1,RL2,Immediate-Early,Regulatory/Transactivator,-3.3152887403202804,1.301427350008895,0.8575683445232141,0.8410623682404228,-0.23972948662847
YP_009137075.1,UL1,Late,Glycoprotein/Entry,0.23792941875182957,-0.6741013986654694,-1.5070206696238262,-0.719305842105976,-1.4075084639742612
YP_009137076.1,UL2,Early,DNA Replication/Repair,-1.6841810951775795,-1.1586110133588627,-1.2351449418911422,-0.762036607234376,-1.4601634785294155
YP_009137077.1,UL3,Late,Nuclear Egress,-0.908808209028986,-0.12156372868461458,-2.3751655654999246,-0.030409904284891112,-0.36499796968391013
YP_009137078.1,UL4,Late,Tegument,1.0700524528286781,-0.08588648489885549,-0.6335209924935375,0.12868899581222218,0.49555328373323865
YP_009137079.1,UL5,Early,DNA Replication/Replication Fork,3.6918051434380703,1.639318224302001,-0.8489245475277851,0.5270648335087108,0.030995975117794745
YP_009137080.1,UL6,Late,Capsid Portal,0.6222260526744477,0.7996524630784897,0.28230981092652735,0.6794125081918025,-0.3928087786706923
YP_009137081.1,UL7,Late,Tegument,1.7724019426585074,-1.014013034631638,-0.8279510955664214,-2.6989257708295713,-0.03130177516672109
YP_009137082.1,UL8,Early,DNA Replication/Replication Fork,0.9491178183923913,-0.18038387620039553,3.1942204586996827,-2.1582993049417145,-0.6141013605224483
YP_009137083.1,UL9,Early,DNA Replication/Origin Binding,2.23148464328478,-0.21671484302592675,-0.4897811936000329,-0.28924788536536616,0.16272374869790135
YP_009137084.1,UL10,Late,Glycoprotein/Entry,2.1131033884026977,-2.994497344337611,1.2719292625480332,-0.14526398327959159,-0.5098224688518096
YP_009137085.1,UL11,Late,Tegument/Secondary Envelopment,-2.2531682506898187,0.9556756952204557,-3.0898336454864195,-0.8348967156732805,2.736377314473879
YP_009137086.1,UL12,Early,DNA Recombination/Processing,-0.7998148017714317,0.9678803153657863,-0.15498295238931967,-0.8025671165387828,-0.6203127200776152
YP_009137087.1,UL13,Early,Protein Kinase,1.5178270460305188,-1.0640126941044734,-1.6647865772350579,1.1658818781360167,-1.4792944858432246
YP_009137088.1,UL14,Late,Tegument,-1.525696154153174,2.693482129894578,-0.10220635039160324,0.010969218757690734,1.613390124762537
YP_009137089.1,UL15,Late,DNA Packaging/Terminase,3.5637568808139526,0.4985832714178923,-0.8785351498666452,1.2805891742541744,-0.6089454584977914
YP_009137090.1,UL16,Late,Tegument,-0.37167581010148554,-1.4450871538374586,-0.06543164604544117,-1.5920135126591735,-0.4989343035784776
YP_009137091.1,UL17,Late,Capsid Vertex/Packaging,-0.24892398138726687,-0.5310283926938156,1.9336180148690867,-0.06315493612136105,-0.18273482722262682
YP_009137092.1,UL18,Late,Capsid/Triplex,0.5175850035188887,-0.380473253800336,0.24683546980831494,-0.0174811200089562,1.2415281744484095
YP_009137093.1,UL19,Late,Capsid/Major,3.0204712870815897,1.4697435539876005,2.009075907749432,1.168556765392197,-0.08542983373216402
YP_009137094.1,UL20,Late,Envelope/Egress,3.5173662020824294,-1.4107612034096513,0.9232817400562275,-2.882286582738287,1.0106778305488489
YP_009137095.1,UL21,Late,Tegument,0.5853397457253972,-0.06950875413808688,0.629091164511729,-0.42460726553667205,-0.2171257108583851
YP_009137096.1,UL22,Late,Glycoprotein/Entry,1.4862569824815621,0.06761666699796612,1.4305018441853958,-0.3130809227668613,-1.10359908731697
YP_009137097.1,UL23,Early,Nucleotide Metabolism,0.5672645340625332,-0.573522786797056,-0.32910146891745423,2.0066318240115906,0.9948657702757705
YP_009137098.1,UL24,Late,Pathogenicity/Egress,-1.1250167035420133,-0.4628487830698241,-2.365334491147642,0.6575454588699556,-0.9283906383335666
YP_009137099.1,UL25,Late,Capsid Vertex/Packaging,1.9622527404175474,0.919544966843663,0.9455717144569359,0.7402413347194532,1.375130450243088
YP_009137100.1,UL26,Late,Capsid Scaffolding/Protease,-0.7835390967619688,0.7557151918041095,1.4363114855125794,1.14863900812335,0.22761566633072464
YP_009137101.1,UL26.5,Late,Capsid Scaffolding,-1.4619201889086377,-0.015100734259627492,1.1572360443589023,2.875239962990328,0.030887955192223183
YP_009137102.1,UL27,Late,Glycoprotein/Entry & Fusion,2.916772985657882,1.5684105011939016,-1.4556014327520903,0.6293587165754164,-0.914572545949203
YP_009137103.1,UL28,Late,DNA Packaging/Terminase,1.0609290365586561,1.63908873753746,1.2491437182210428,0.24165310245796046,1.130019310603802
YP_009137104.1,UL29,Early,DNA Replication/SSB,2.831934039677301,1.87275986207865,1.0358574351783962,0.5840530732307204,0.46763747200703154
YP_009137105.1,UL30,Early,DNA Replication/Polymerase,3.089841953759984,2.237809114017161,0.34171745595008346,-0.19104513242232665,-0.45324921854468725
YP_009137106.1,UL31,Late,Nuclear Egress,1.578534058153967,-1.0520077602468572,-1.1119866768146038,0.2634202265354522,0.5896777065047526
YP_009137107.1,UL32,Late,DNA Packaging,1.3177795892763668,0.39107547007374455,0.8493235001474346,-0.6993694929816063,0.38599977314735134
YP_009137108.1,UL33,Late,DNA Packaging/Terminase,0.4005988711299806,1.9482275723547726,-0.8502130280979164,0.26639297613587615,1.2311449799885867
YP_009137109.1,UL34,Late,Nuclear Egress,-0.09374108693998265,-1.8250905870016374,0.6247498301597246,0.9407904293989238,1.0768155905698094
YP_009137110.1,UL35,Late,Capsid/Small Capsid,0.601242197921562,-1.8340627117918786,-0.841454828833594,4.118431316803381,0.03459754911125033
YP_009137111.1,UL36,Late,Tegument/Large Tegument,0.6001561405209732,5.8047408478542035,4.568462198707181,0.32558889979729266,-3.235238058150061
YP_009137112.1,UL37,Late,Tegument/Inner Tegument,0.6703246010285869,1.5762425109435716,1.6408668911584083,0.22537426044149053,-0.03197343078932265
YP_009137113.1,UL38,Late,Capsid/Triplex,-0.5681294873812852,-0.595414852064976,0.9592059903653922,1.0295181885838856,0.3707073097505724
YP_009137114.1,UL39,Early,Nucleotide Metabolism,1.8412897698133157,1.798812141775976,-0.2655343161248621,-0.3046449541630403,0.30146466407874195
YP_009137115.1,UL40,Early,Nucleotide Metabolism,3.7568644948788896,1.2352551717346907,-2.3874492633259896,-1.2918848881217277,0.6162344166326115
YP_009137116.1,UL41,Late,Host Shutoff,1.4798201540492637,0.36961504238629916,-2.3772315801166286,-0.45672319671661243,-0.6974705533140966
YP_009137117.1,UL42,Early,DNA Replication/Processivity,0.17001497874709756,1.622048778944409,-0.5613264495824027,0.6098934808904368,-0.28895497729899317
